system:index,Date,.geo
174,NDMI_20010826,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,NDMI_20010911,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,NDMI_20011013,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,NDMI_20011130,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,NDMI_20011216,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,NDMI_20020407,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,NDMI_20020525,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,NDMI_20020610,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,NDMI_20020626,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,NDMI_20020712,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,NDMI_20020930,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,NDMI_20021203,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,NDMI_20021219,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,NDMI_20030120,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,NDMI_20030221,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,NDMI_20030325,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,NDMI_20030426,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,NDMI_20030512,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,NDMI_20030731,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,NDMI_20030816,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,NDMI_20030901,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,NDMI_20030917,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,NDMI_20031019,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,NDMI_20031104,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,NDMI_20040123,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,NDMI_20040224,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,NDMI_20040311,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,NDMI_20040412,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,NDMI_20040514,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,NDMI_20040615,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,NDMI_20040701,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,NDMI_20040717,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,NDMI_20040818,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,NDMI_20040903,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,NDMI_20040919,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,NDMI_20041021,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,NDMI_20041122,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,NDMI_20041208,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,NDMI_20041224,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,NDMI_20050125,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,NDMI_20050226,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,NDMI_20050415,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,NDMI_20050501,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,NDMI_20050602,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,NDMI_20050720,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,NDMI_20050805,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,NDMI_20050821,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,NDMI_20050906,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,NDMI_20050922,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,NDMI_20051125,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,NDMI_20051211,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,NDMI_20051227,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,NDMI_20060112,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,NDMI_20060128,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,NDMI_20060301,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,NDMI_20060317,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,NDMI_20060402,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,NDMI_20060418,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,NDMI_20060504,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,NDMI_20060520,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,NDMI_20061027,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,NDMI_20061112,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,NDMI_20061128,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,NDMI_20061214,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,NDMI_20070320,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,NDMI_20070405,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,NDMI_20070421,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,NDMI_20070507,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,NDMI_20070523,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,NDMI_20070608,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,NDMI_20070624,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,NDMI_20070710,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,NDMI_20070726,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,NDMI_20070928,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,NDMI_20071014,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,NDMI_20071030,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,NDMI_20071115,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,NDMI_20080118,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,NDMI_20080203,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,NDMI_20080306,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,NDMI_20080322,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,NDMI_20080407,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,NDMI_20080423,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,NDMI_20080509,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,NDMI_20080525,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,NDMI_20080618,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,NDMI_20080728,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,NDMI_20080813,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,NDMI_20080930,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,NDMI_20081203,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,NDMI_20081219,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,NDMI_20090104,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,NDMI_20090120,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,NDMI_20090205,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,NDMI_20090309,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,NDMI_20090325,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,NDMI_20090410,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,NDMI_20090426,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,NDMI_20090613,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,NDMI_20090629,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,NDMI_20090715,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,NDMI_20090731,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,NDMI_20090816,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,NDMI_20090901,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,NDMI_20090917,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,NDMI_20091003,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,NDMI_20091019,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,NDMI_20091104,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,NDMI_20091120,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,NDMI_20091206,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,NDMI_20091214,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,NDMI_20091222,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,NDMI_20100123,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,NDMI_20100208,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,NDMI_20100312,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,NDMI_20100328,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,NDMI_20100429,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,NDMI_20100515,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,NDMI_20100531,"{""type"":""MultiPoint"",""coordinates"":[]}"
