system:index,Date,.geo
218,NDMI_20080808,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,NDMI_20080824,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,NDMI_20081128,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,NDMI_20081214,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,NDMI_20090304,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,NDMI_20090405,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,NDMI_20090507,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,NDMI_20090523,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,NDMI_20090608,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,NDMI_20090624,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,NDMI_20090710,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,NDMI_20090928,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,NDMI_20091014,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,NDMI_20091030,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,NDMI_20091115,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,NDMI_20091201,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,NDMI_20091209,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,NDMI_20100323,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,NDMI_20100408,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,NDMI_20100424,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,NDMI_20100510,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,NDMI_20100611,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,NDMI_20100729,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,NDMI_20101102,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,NDMI_20101204,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,NDMI_20101220,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,NDMI_20110105,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,NDMI_20110121,"{""type"":""MultiPoint"",""coordinates"":[]}"
